execucao,num_dados,operacao,abordagem,tempo_gasto,rotacoes,altura
9,1000,insercao,AVL,0.007997035980,682.0,12.0
9,1000,busca,Red Black,0.008004188538,,
9,1000,busca,AVL,0.000000000000,,
9,1000,exclusão,Red Black,0.007999181747,426.0,
9,1000,pesquisa,AVL,0.010568141937,399.0,
10,1000,insercao,Red Black,0.000000000000,592.0,13.0
10,1000,insercao,AVL,0.016014337540,730.0,12.0
10,1000,busca,Red Black,0.000000000000,,
10,1000,busca,AVL,0.000000000000,,
10,1000,exclusão,Red Black,0.000000000000,404.0,
10,1000,pesquisa,AVL,0.008000612259,404.0,
1,10000,insercao,Red Black,0.044405937195,5705.0,17.0
1,10000,insercao,AVL,0.094925165176,6920.0,16.0
1,10000,busca,Red Black,0.036627054214,,
1,10000,busca,AVL,0.023963689804,,
1,10000,exclusão,Red Black,0.048531293869,4243.0,
1,10000,pesquisa,AVL,0.091813325882,3999.0,
2,10000,insercao,Red Black,0.048371791840,5821.0,17.0
2,10000,insercao,AVL,0.089178800583,6993.0,16.0
2,10000,busca,Red Black,0.026795625687,,
2,10000,busca,AVL,0.024074316025,,
2,10000,exclusão,Red Black,0.039911746979,4193.0,
2,10000,pesquisa,AVL,0.080885410309,3869.0,
3,10000,insercao,Red Black,0.055047750473,5765.0,18.0
3,10000,insercao,AVL,0.088480234146,6955.0,16.0
3,10000,busca,Red Black,0.033396720886,,
3,10000,busca,AVL,0.020532131195,,
3,10000,exclusão,Red Black,0.040043830872,4323.0,
3,10000,pesquisa,AVL,0.080883502960,4073.0,
4,10000,insercao,Red Black,0.048166513443,5722.0,17.0
4,10000,insercao,AVL,0.103231906891,6909.0,16.0
4,10000,busca,Red Black,0.029746294022,,
4,10000,busca,AVL,0.023864030838,,
4,10000,exclusão,Red Black,0.042976140976,4210.0,
4,10000,pesquisa,AVL,0.087464570999,3957.0,
5,10000,insercao,Red Black,0.033000469208,5773.0,17.0
5,10000,insercao,AVL,0.088583230972,6835.0,16.0
5,10000,busca,Red Black,0.035273313522,,
5,10000,busca,AVL,0.024141788483,,
5,10000,exclusão,Red Black,0.047975778580,4251.0,
5,10000,pesquisa,AVL,0.078207969666,4029.0,
6,10000,insercao,Red Black,0.041072845459,5878.0,17.0
6,10000,insercao,AVL,0.092202663422,7046.0,15.0
6,10000,busca,Red Black,0.017149925232,,
6,10000,busca,AVL,0.027863979340,,
6,10000,exclusão,Red Black,0.048000574112,4188.0,
6,10000,pesquisa,AVL,0.087364673615,4032.0,
7,10000,insercao,Red Black,0.049746036530,5805.0,18.0
7,10000,insercao,AVL,0.076047658920,6950.0,16.0
7,10000,busca,Red Black,0.039655685425,,
7,10000,busca,AVL,0.023852586746,,
7,10000,exclusão,Red Black,0.047972202301,4112.0,
7,10000,pesquisa,AVL,0.077903509140,3859.0,
8,10000,insercao,Red Black,0.038570642471,5795.0,17.0
8,10000,insercao,AVL,0.089245080948,6872.0,16.0
8,10000,busca,Red Black,0.025141000748,,
8,10000,busca,AVL,0.023875951767,,
8,10000,exclusão,Red Black,0.063992023468,4130.0,
8,10000,pesquisa,AVL,0.088271379471,3906.0,
9,10000,insercao,Red Black,0.042606353760,5760.0,17.0
9,10000,insercao,AVL,0.083730697632,6982.0,16.0
9,10000,busca,Red Black,0.028880596161,,
9,10000,busca,AVL,0.024397373199,,
9,10000,exclusão,Red Black,0.048136949539,4137.0,
9,10000,pesquisa,AVL,0.114164590836,4049.0,
10,10000,insercao,Red Black,0.034908056259,5653.0,18.0
10,10000,insercao,AVL,0.092034101486,6923.0,16.0
10,10000,busca,Red Black,0.024239301682,,
10,10000,busca,AVL,0.028059720993,,
10,10000,exclusão,Red Black,0.048005819321,4262.0,
10,10000,pesquisa,AVL,0.079959392548,4145.0,
1,100000,insercao,Red Black,0.402215003967,58178.0,21.0
1,100000,insercao,AVL,1.161039829254,69724.0,20.0
1,100000,busca,Red Black,0.305521249771,,
1,100000,busca,AVL,0.257071256638,,
1,100000,exclusão,Red Black,0.403311252594,41947.0,
1,100000,pesquisa,AVL,0.978169202805,39880.0,
2,100000,insercao,Red Black,0.443110704422,58579.0,21.0
2,100000,insercao,AVL,1.199697971344,70305.0,20.0
2,100000,busca,Red Black,0.321955680847,,
2,100000,busca,AVL,0.228720664978,,
2,100000,exclusão,Red Black,0.395518779755,41834.0,
2,100000,pesquisa,AVL,0.976855516434,40009.0,
3,100000,insercao,Red Black,0.428350925446,58350.0,21.0
3,100000,insercao,AVL,1.175782442093,70015.0,20.0
3,100000,busca,Red Black,0.303361892700,,
3,100000,busca,AVL,0.216225147247,,
3,100000,exclusão,Red Black,0.408853769302,42043.0,
3,100000,pesquisa,AVL,0.969399213791,39887.0,
4,100000,insercao,Red Black,0.427601814270,58460.0,22.0
4,100000,insercao,AVL,1.166508674622,70173.0,20.0
4,100000,busca,Red Black,0.313585996628,,
